METADATA,,,,,,,,,,,,,,
title.en,SERVICE RESTRICTIONS (Recapitulatory list of service restrictions in force relating to telecommunications operation),,,,,,,,,,,,,
title.fr,RESTRICTIONS DE SERVICE (Liste récapitulative des restrictions de service en vigueur relatives à l’exploitation des télécommunications),,,,,,,,,,,,,
title.es,RESTRICCIONES DE SERVICIO (Lista recapitulativa de las restricciones de servicio en vigor relativas a la explotación de las telecomunicaciones),,,,,,,,,,,,,
locale.geographic_area.en,Country/Geographical area,,,,,,,,,,,,,
locale.geographic_area.fr,Países/Zonas geográficas,,,,,,,,,,,,,
locale.geographic_area.es,Pays/Zones géographiques,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
DATA,,,,,,,,,,,,,,
geographic_area.fr,geographic_area.en,geographic_area.es,restrictions.telex_not_provided[boolean],restrictions.telegram_not_provided[boolean],restrictions.no_collect_calls.mobile[boolean],restrictions.no_collect_calls.payphone[boolean],restrictions.no_collect_calls.audiotex[boolean],restrictions.no_collect_calls.virtual[boolean],restrictions.no_collect_calls.incoming[boolean],restrictions.no_collect_calls.outgoing[boolean],restrictions.no_messenger_dispatch[boolean],notes.en,notes.es,notes.fr
"Curaçao, Sint Maarten, Bonaire, Saint Eustatius et Saba","Curaçao, Sint Maarten, Bonaire, Sint Eustatius and Saba","Curaçao, Sint Maarten, Bonaire, San Eustatius y Saba",TRUE,TRUE,,,,,TRUE,TRUE,,Collect calls for both outgoing and incoming are not accepted. The telegram service is no longer provided. The telex service is no longer provided.,No se aceptan llamadas de cobro revertido entrantes ni salientes. El servicio de telegramas está suprimido. El servicio télex está suprimido,Les communications entrantes et sortantes payables à l'arrivée ne sont pas acceptées.  Le service des télégrammes n'est plus assuré. Le service télex n'est plus assuré.
Chypre,Cyprus,Chipre,,,TRUE,,,,,,,CYTA no longer route nor accept telephone traffic via transit carriers. Telecom operators are requested to switch to the hubbing method for routing traffic to CYTA. Collect calls to mobile numbers are not accepted,CYTA no encamina ni acepta tráfico telefónico procedente de operadores de tránsito. Se invita a los operadores de telecomunicaciones que utilicen un método de concentración para el encaminamiento de su tráfico a la CYTA. No se aceptan llamadas de cobro revertido efectuadas a números de teléfonos móviles,La CYTA n'achemine plus et n'accepte plus de trafic téléphonique via des opérateurs de transit. Les opérateurs de télécommunication concernés sont priés de bien vouloir adopter la méthode de concentration (hubbing) pour le routage de leur trafic à destination de la CYTA. Les communications payables à l'arrivée à destination de numéros mobiles ne sont pas acceptées.
Tchèque (Rép.),Czech Rep.,Checa (Rep.),TRUE,,,,,,,,,The telex service is no longer provided.,El servicio télex está suprimido,Le service télex n'est plus assuré.
Danemark,Denmark,Dinamarca,,,,,,,,,,The telegram service is no longer provided.,El servicio de telegramas está suprimido,Le service des télégrammes n'est plus assuré.
Dominique,Dominica,Dominica,,,TRUE,,,,,,,Collect calls to mobile numbers are not accepted,No se aceptan llamadas de cobro revertido efectuadas a números de teléfonos móviles,Les communications payables à l'arrivée à destination de numéros mobiles ne sont pas acceptées.
Féroé (Iles),Faroe (Island),Faroe (Islas),TRUE,TRUE,,,,,,,,The telex service is no longer provided. The telegram service is no longer provided,El servicio télex está suprimido. El servicio de telegramas está suprimido,Le service télex n'est plus assuré. Le service des télégrammes n'est plus assuré.
Fidji,Fiji,Fiji,TRUE,TRUE,TRUE,,,,,,,The telex service is no longer provided. The telegram service is no longer provided. Collect calls to mobile numbers are not accepted,El servicio télex está suprimido. El servicio de telegramas está suprimido. No se aceptan llamadas de cobro revertido efectuadas a números de teléfonos móviles,Le service télex n'est plus assuré. Le service des télégrammes n'est plus assuré. Les communications payables à l'arrivée à destination de numéros mobiles ne sont pas acceptées.
Finlande,Finland,Finlandia,,,,,,,,,,Sonera announces the closure of the Booked Call Service (booked personal telephone calls requiring the dispatch of a messenger).,Sonera anuncia la clausura del servicio de petición de llamadas (llamadas telefónicas personales que requieren el envío de un mensajero),Sonera annonce la fermeture du service de réservation de communications (réservation de communications téléphoniques personnelles nécessitant l'envoi d'un messager).
France,France,Francia,,,,,,,,,,France Telecom has discontinued the international collect call service.,France Telecom ha suspendido el servicio internacional de llamadas de cobro revertido ,France Telecom a arrêté le service international de communications payables à l'arrivée.
Gibraltar,Gibraltar,Gibraltar,,TRUE,TRUE,,,,,,,Collect calls to mobile numbers are not accepted. The telegram service is no longer provided,No se aceptan llamadas de cobro revertido efectuadas a números de teléfonos móviles. El servicio de telegramas está suprimido,Les communications payables à l'arrivée à destination de numéros mobiles ne sont pas acceptées. Le service des télégrammes n'est plus assuré.
